qmk,alt,legend,altLegend,type,raw
KC_KP_COMMA,KC_PCMM,",",,KEYPAD,0x0085
KC_KP_EQUAL_AS400,,#NAME?,,KEYPAD,0x0086
KC_TRANSPARENT,KC_TRNS,▽,,,0x0000
RESET,,RESET,,QMK,0x5c00
DEBUG,,DEBUG,,QMK,0x5c01
EEPROM_RESET,EEP_RST,ROM RESET,,QMK,0x5c4f
AU_ON,,,,QMK,0x5c1d
AU_OFF,,,,QMK,0x5c1e
AU_TOG,,,,QMK,0x5c1f
CLICKY_TOGGLE,CK_TOGG,,,QMK,0x5c20
CLICKY_UP,CK_UP,,,QMK,0x5c23
CLICKY_DOWN,CK_DOWN,,,QMK,0x5c24
CLICKY_RESET,CK_RST,,,QMK,0x5c25
MU_ON,,,,QMK,0x5c26
MU_OFF,,,,QMK,0x5c27
MU_TOG,,,,QMK,0x5c28
MU_MOD,,,,QMK,0x5c29
BL_TOGG,,,,QMK,0x5c30
BL_STEP,,,,QMK,0x5c31
BL_ON,,,,QMK,0x5c2c
BL_OFF,,,,QMK,0x5c2d
BL_INC,,,,QMK,0x5c2f
BL_DEC,,,,QMK,0x5c2e
BL_BRTG,,,,QMK,0x5c32
MAGIC_SWAP_CONTROL_CAPSLOCK,CL_SWAP,,,QMK,0x5c02
MAGIC_UNSWAP_CONTROL_CAPSLOCK,CL_NORM,,,QMK,0x5c0b
MAGIC_CAPSLOCK_TO_CONTROL,CL_CTRL,,,QMK,0x5c03
MAGIC_UNCAPSLOCK_TO_CONTROL,CL_CAPS,,,QMK,0x5c0c
MAGIC_SWAP_LCTL_LGUI,LCG_SWP,,,QMK,0x5c6b
MAGIC_UNSWAP_LCTL_LGUI,LCG_NRM,,,QMK,0x5c6d
MAGIC_SWAP_RCTL_RGUI,RCG_SWP,,,QMK,0x5c6c
MAGIC_UNSWAP_RCTL_RGUI,RCG_NRM,,,QMK,0x5c6e
MAGIC_SWAP_CTL_GUI,CG_SWAP,,,QMK,0x5c6f
MAGIC_UNSWAP_CTL_GUI,CG_NORM,,,QMK,0x5c70
MAGIC_TOGGLE_CTL_GUI,CG_TOGG,,,QMK,0x5c71
MAGIC_SWAP_LALT_LGUI,LAG_SWP,,,QMK,0x5c04
MAGIC_UNSWAP_LALT_LGUI,LAG_NRM,,,QMK,0x5c0d
MAGIC_SWAP_RALT_RGUI,RAG_SWP,,,QMK,0x5c05
MAGIC_UNSWAP_RALT_RGUI,RAG_NRM,,,QMK,0x5c0e
MAGIC_SWAP_ALT_GUI,AG_SWAP,,,QMK,0x5c0a
MAGIC_UNSWAP_ALT_GUI,AG_NORM,,,QMK,0x5c13
MAGIC_TOGGLE_ALT_GUI,AG_TOGG,,,QMK,0x5c15
MAGIC_NO_GUI,GUI_OFF,,,QMK,0x5c06
MAGIC_UNNO_GUI,GUI_ON,,,QMK,0x5c0f
MAGIC_SWAP_GRAVE_ESC,GE_SWAP,,,QMK,0x5c07
MAGIC_UNSWAP_GRAVE_ESC,GE_NORM,,,QMK,0x5c10
MAGIC_SWAP_BACKSLASH_BACKSPACE,BS_SWAP,,,QMK,0x5c08
MAGIC_UNSWAP_BACKSLASH_BACKSPACE,BS_NORM,,,QMK,0x5c11
MAGIC_HOST_NKRO,NK_ON,,,QMK,0x5c09
MAGIC_UNHOST_NKRO,NK_OFF,,,QMK,0x5c12
MAGIC_TOGGLE_NKRO,NK_TOGG,,,QMK,0x5c14
MAGIC_EE_HANDS_LEFT,EH_LEFT,,,QMK,0x5c72
MAGIC_EE_HANDS_RIGHT,EH_RGHT,,,QMK,0x5c73
DYN_REC_START1,DM_REC1,,,QMK,0x5c74
DYN_REC_START2,DM_REC2,,,QMK,0x5c75
DYN_MACRO_PLAY1,DM_PLY1,,,QMK,0x5c77
DYN_MACRO_PLAY2,DM_PLY2,,,QMK,0x5c78
DYN_REC_STOP,DM_RSTP,,,QMK,0x5c76
GRAVE_ESC,KC_GESC,,,QMK,0x5c16
